Unnamed: 0,Hauptdiagnose,Ausland-unbekannt-ohne Angabe,Population,Demand_per_1000
463,I81,7,188.0,37.234042553191486
464,I83,126,4496.0,28.02491103202847
465,I85,5,271.0,18.45018450184502
466,I86,11,454.0,24.229074889867842
467,I87,27,1514.0,17.8335535006605
468,I88,13,837.0,15.531660692951014
469,I89,24,1152.0,20.833333333333332
470,I95,108,6341.0,17.032013877937235
471,I97,3,162.0,18.51851851851852
472,I99,5,323.0,15.479876160990711
473,J00,3,212.0,14.150943396226415
474,J01,14,508.0,27.559055118110237
475,J02,18,516.0,34.883720930232556
476,J03,59,1503.0,39.25482368596141
477,J04,7,740.0,9.45945945945946
478,J05,14,293.0,47.78156996587031
479,J06,143,4976.0,28.737942122186496
480,J09,2,4.0,500.0
481,J10,7,72.0,97.22222222222223
482,J11,1,119.0,8.403361344537815
483,J12,1625,54731.0,29.690668907931517
484,J13,20,341.0,58.65102639296188
485,J14,1,144.0,6.944444444444444
486,J15,146,4509.0,32.37968507429585
487,J16,7,461.0,15.184381778741864
488,J18,437,21785.0,20.059674087675006
489,J20,242,11717.0,20.65375096014338
490,J21,54,2021.0,26.719445818901534
491,J22,78,1543.0,50.55087491898898
492,J30,2,34.0,58.8235294117647
493,J31,1,57.0,17.543859649122805
494,J32,100,4566.0,21.901007446342533
495,J33,2,163.0,12.269938650306749
496,J34,131,5903.0,22.192105708961545
497,J35,64,5201.0,12.305325898865602
498,J36,85,1936.0,43.90495867768595
499,J37,1,309.0,3.236245954692557
500,J38,41,2960.0,13.851351351351353
501,J39,20,750.0,26.666666666666668
502,J40,9,496.0,18.145161290322584
503,J41,8,366.0,21.85792349726776
504,J42,4,309.0,12.944983818770227
505,J43,13,287.0,45.29616724738676
506,J44,317,25720.0,12.325038880248833
507,J45,75,2872.0,26.114206128133706
508,J46,17,427.0,39.81264637002342
509,J47,12,478.0,25.10460251046025
510,J67,3,314.0,9.554140127388534
511,J68,4,108.0,37.03703703703704
512,J69,59,4000.0,14.75
513,J70,2,222.0,9.00900900900901
514,J80,80,1107.0,72.26738934056007
515,J81,1,44.0,22.727272727272727
516,J84,64,3100.0,20.64516129032258
517,J85,14,547.0,25.59414990859232
518,J86,43,1234.0,34.84602917341977
519,J90,38,1902.0,19.978969505783386
520,J93,50,1409.0,35.486160397445
521,J94,3,323.0,9.287925696594426
522,J95,21,1073.0,19.571295433364398
523,J96,109,6452.0,16.89398636081835
524,J98,42,1988.0,21.12676056338028
525,K01,4,219.0,18.2648401826484
526,K02,3,651.0,4.608294930875576
527,K03,1,7.0,142.85714285714286
528,K04,10,920.0,10.869565217391305
529,K05,5,130.0,38.46153846153847
530,K06,1,52.0,19.230769230769234
531,K07,34,891.0,38.15937149270483
532,K08,15,759.0,19.76284584980237
533,K09,6,251.0,23.904382470119522
534,K10,36,1326.0,27.149321266968325
535,K11,30,1564.0,19.18158567774936
536,K12,74,1796.0,41.202672605790646
537,K13,4,276.0,14.492753623188406
538,K14,12,640.0,18.75
539,K20,12,467.0,25.69593147751606
540,K21,155,5502.0,28.171573973100692
541,K22,117,5962.0,19.62428715196243
542,K25,214,5311.0,40.293729994351345
543,K26,151,4188.0,36.05539637058261
544,K27,3,43.0,69.76744186046511
545,K28,8,353.0,22.6628895184136
546,K29,429,17548.0,24.447230453612946
547,K30,4,301.0,13.289036544850498
548,K31,41,3143.0,13.044861597200127
549,K35,599,13428.0,44.60828120345547
550,K36,31,821.0,37.758830694275275
551,K37,2,115.0,17.391304347826086
552,K38,3,81.0,37.03703703703704
553,K40,498,22214.0,22.418294769064552
554,K41,11,477.0,23.060796645702304
555,K42,91,4169.0,21.827776445190693
556,K43,111,6847.0,16.21147948006426
557,K44,47,2070.0,22.705314009661834
558,K45,3,67.0,44.776119402985074
559,K50,69,3163.0,21.81473284856149
560,K51,65,2895.0,22.452504317789295
561,K52,100,5829.0,17.1556013038257
562,K55,44,3840.0,11.458333333333332
563,K56,301,13955.0,21.569329989251166
564,K57,301,17550.0,17.15099715099715
565,K58,10,665.0,15.037593984962406
566,K59,156,9411.0,16.57634682817979
567,K60,60,3637.0,16.497113005224087
568,K61,143,4858.0,29.43598188554961
569,K62,69,3804.0,18.138801261829656
570,K63,61,4433.0,13.760433115271827
571,K64,128,5999.0,21.336889481580265
572,K65,39,1705.0,22.87390029325513
573,K66,36,1339.0,26.8857356235997
574,K70,184,8900.0,20.674157303370784
575,K71,6,628.0,9.554140127388534
576,K72,21,719.0,29.20723226703755
577,K74,76,4139.0,18.361923169847792
578,K75,25,1406.0,17.780938833570413
579,K76,29,1403.0,20.669992872416252
580,K80,700,37441.0,18.69608183542106
581,K81,80,1992.0,40.16064257028113
582,K82,5,472.0,10.59322033898305
583,K83,91,6201.0,14.675052410901468
584,K85,410,10239.0,40.04297294657681
585,K86,52,3868.0,13.44364012409514
586,K90,3,396.0,7.575757575757576
587,K91,36,1908.0,18.867924528301884
588,K92,176,8236.0,21.369596891694997
589,L01,6,207.0,28.985507246376812
590,L02,202,8036.0,25.136884021901444
591,L03,253,6577.0,38.46738634635852
592,L04,8,435.0,18.39080459770115
593,L05,85,4086.0,20.802741067058246
594,L08,9,474.0,18.9873417721519
595,L10,4,136.0,29.41176470588235
596,L12,3,856.0,3.5046728971962615
597,L13,1,43.0,23.25581395348837
598,L20,24,1469.0,16.337644656228726
599,L21,1,15.0,66.66666666666667
600,L23,8,312.0,25.64102564102564
601,L24,1,86.0,11.627906976744185
602,L27,16,716.0,22.3463687150838
603,L28,9,269.0,33.45724907063197
604,L29,6,80.0,75.0
605,L30,7,1376.0,5.087209302325582
606,L40,33,2008.0,16.43426294820717
607,L43,1,177.0,5.649717514124294
608,L50,32,1025.0,31.21951219512195
609,L51,6,140.0,42.857142857142854
610,L52,1,60.0,16.666666666666668
611,L53,2,136.0,14.705882352941176
612,L55,1,23.0,43.47826086956522
613,L57,1,386.0,2.5906735751295336
614,L59,1,20.0,50.0
615,L60,2,236.0,8.474576271186441
616,L66,1,14.0,71.42857142857143
617,L72,32,2363.0,13.542107490478205
618,L73,7,1228.0,5.700325732899023
619,L74,2,152.0,13.157894736842104
620,L80,1,9.0,111.1111111111111
621,L82,1,179.0,5.58659217877095
622,L88,1,279.0,3.5842293906810037
623,L89,20,2247.0,8.900756564307965
624,L90,11,395.0,27.848101265822784
625,L91,3,141.0,21.27659574468085
626,L92,5,307.0,16.286644951140065
627,L93,2,148.0,13.513513513513514
628,L94,2,197.0,10.15228426395939
629,L95,3,101.0,29.7029702970297
630,L97,24,928.0,25.862068965517242
631,L98,19,1284.0,14.797507788161994
632,M00,50,2754.0,18.15541031227306
633,M02,3,339.0,8.849557522123893
634,M05,22,2090.0,10.526315789473683
635,M06,27,2177.0,12.40238860817639
636,M08,34,578.0,58.8235294117647
637,M10,26,1876.0,13.859275053304904
638,M11,1,126.0,7.936507936507936
639,M12,5,296.0,16.89189189189189
640,M13,9,1003.0,8.97308075772682
641,M15,3,668.0,4.491017964071856
642,M16,434,27368.0,15.857936275942706
643,M17,422,28508.0,14.802862354426829
644,M18,23,1076.0,21.37546468401487
645,M19,88,3912.0,22.494887525562373
646,M20,86,4791.0,17.950323523272804
647,M21,160,3080.0,51.948051948051955
648,M22,26,1120.0,23.214285714285715
649,M23,176,7285.0,24.159231297185997
650,M24,173,2095.0,82.57756563245823
651,M25,67,4489.0,14.925373134328359
652,M30,4,191.0,20.942408376963353
653,M31,34,2584.0,13.157894736842104
654,M32,7,734.0,9.536784741144414
655,M33,11,487.0,22.58726899383984
656,M34,8,1559.0,5.131494547787042
657,M35,19,2367.0,8.027038445289396
658,M40,6,101.0,59.4059405940594
659,M41,60,618.0,97.08737864077669
660,M42,35,1250.0,28.0
661,M43,23,2000.0,11.5
662,M45,5,555.0,9.00900900900901
663,M46,24,1877.0,12.786361214704314
664,M47,69,3630.0,19.008264462809915
665,M48,277,14642.0,18.918180576423985
666,M50,62,3063.0,20.241593209271954
667,M51,405,16147.0,25.082058586734377
668,M53,49,2603.0,18.82443334613907
669,M54,498,23814.0,20.91206853111615
670,M60,20,582.0,34.364261168384886
671,M61,3,73.0,41.0958904109589
672,M62,46,1923.0,23.92095683827353
673,M65,43,1234.0,34.84602917341977
674,M66,5,436.0,11.46788990825688
675,M67,24,899.0,26.696329254727477
676,M70,83,1616.0,51.36138613861386
677,M71,12,556.0,21.58273381294964
678,M72,39,1632.0,23.89705882352941
679,M75,225,9938.0,22.640370295834174
680,M76,7,264.0,26.515151515151516
681,M77,18,717.0,25.10460251046025
682,M79,110,3788.0,29.03907074973601
683,M80,45,5188.0,8.673862760215883
684,M81,2,201.0,9.950248756218905
685,M84,103,2684.0,38.375558867362145
686,M85,11,380.0,28.94736842105263
687,M86,59,1922.0,30.69719042663892
688,M87,32,1627.0,19.668100799016592
689,M89,7,435.0,16.091954022988507
690,M91,5,101.0,49.504950495049506
691,M92,3,48.0,62.5
692,M93,15,694.0,21.613832853025936
693,M94,26,906.0,28.69757174392936
694,M95,9,679.0,13.254786450662738
695,M96,25,1023.0,24.437927663734115
696,N00,3,121.0,24.793388429752067
697,N02,2,167.0,11.976047904191617
698,N03,4,115.0,34.78260869565217
699,N04,8,595.0,13.445378151260504
700,N05,3,118.0,25.423728813559325
701,N10,145,4567.0,31.749507335231005
702,N11,1,124.0,8.064516129032258
703,N12,24,566.0,42.40282685512368
704,N13,900,25934.0,34.703478059689985
705,N15,6,328.0,18.29268292682927
706,N17,171,12538.0,13.638538841920562
707,N18,66,7109.0,9.28400618933746
708,N19,4,277.0,14.44043321299639
709,N20,654,13023.0,50.21884358442755
710,N21,14,827.0,16.928657799274486
711,N23,50,888.0,56.306306306306304
712,N26,2,84.0,23.809523809523807
713,N28,23,880.0,26.136363636363633
714,N30,83,7096.0,11.696730552423901
715,N31,10,695.0,14.388489208633095
716,N32,41,2404.0,17.054908485856902
717,N34,1,105.0,9.523809523809526
