Unnamed: 0,Satzart,Gebietsstand,Regionalschlüssel,Gemeinde,Leer,latitude,longitude
367,40.0,20211231.0,14524,Zwickau,Zwickau,50.7185043,12.4939267
368,40.0,20211231.0,14612,"Dresden, Stadt",Dresden,51.0397211,13.7332405
369,40.0,20211231.0,14625,Bautzen,Bautzen,51.1813907,14.4275735
370,40.0,20211231.0,14626,Görlitz,Görlitz,51.1563185,14.991018
371,40.0,20211231.0,14627,Meißen,Meißen,51.1630871,13.4704939
372,40.0,20211231.0,14628,Sächsische Schweiz-Osterzgebirge,Pirna,50.9033373,13.9237684
373,40.0,20211231.0,14713,"Leipzig, Stadt",Leipzig,51.3384539,12.3786386
374,40.0,20211231.0,14729,"Leipzig, Kreis",Borna,52.1329695,8.849564
375,40.0,20211231.0,14730,Nordsachsen,Torgau,51.4420847,13.0383672
376,40.0,20211231.0,15001,"Dessau-Roßlau, Stadt",Dessau-Roßlau,51.8303061,12.2403232
377,40.0,20211231.0,15002,"Halle (Saale), Stadt",Halle (Saale),51.4774872,11.9872964
378,40.0,20211231.0,15003,"Magdeburg, Landeshauptstadt",Magdeburg,,
379,40.0,20211231.0,15081,Altmarkkreis Salzwedel,Salzwedel,52.6912307,11.2303736
380,40.0,20211231.0,15082,Anhalt-Bitterfeld,Köthen (Anhalt),51.8167973,12.010507
381,40.0,20211231.0,15083,Börde,Haldensleben,52.2005791,11.3349526
382,40.0,20211231.0,15084,Burgenlandkreis,Naumburg (Saale),51.1290647,11.8515581
383,40.0,20211231.0,15085,Harz,Halberstadt,51.7249376,10.6948924
384,40.0,20211231.0,15086,Jerichower Land,Burg,52.288252,12.0099979
385,40.0,20211231.0,15087,Mansfeld-Südharz,Sangerhausen,51.5346225,11.3350129
386,40.0,20211231.0,15088,Saalekreis,Merseburg,51.4546989,11.850502
387,40.0,20211231.0,15089,Salzlandkreis,Bernburg (Saale),51.8509799,11.6004622
388,40.0,20211231.0,15090,Stendal,Stendal,52.6050782,11.8594279
389,40.0,20211231.0,15091,Wittenberg,Lutherstadt Wittenberg,51.8666527,12.646761
390,40.0,20211231.0,16051,"Erfurt, Stadt",Erfurt,50.8694079,12.0825286
391,40.0,20211231.0,16052,"Gera, Stadt",Gera,50.9526146,12.1220551
392,40.0,20211231.0,16053,"Jena, Stadt",Jena,50.8719637,12.0811361
393,40.0,20211231.0,16054,"Suhl, Stadt",Suhl,53.8782302,10.6139351
394,40.0,20211231.0,16055,"Weimar, Stadt",Weimar,49.5822678,9.363328
395,40.0,20211231.0,16061,Eichsfeld,Heilbad Heiligenstadt,51.4747076,7.4879922
396,40.0,20211231.0,16062,Nordhausen,Nordhausen,51.5051574,10.7925317
397,40.0,20211231.0,16063,Wartburgkreis,Bad Salzungen,50.8904031,10.2412685
398,40.0,20211231.0,16064,Unstrut-Hainich-Kreis,Mühlhausen,51.1877205,10.5744796
399,40.0,20211231.0,16065,Kyffhäuserkreis,Sondershausen,51.3146112,10.8382263
400,40.0,20211231.0,16066,Schmalkalden-Meiningen,Meiningen,50.6217561,10.3417729
401,40.0,20211231.0,16067,Gotha,Gotha/Thür.,50.9494849,10.7014435
402,40.0,20211231.0,16068,Sömmerda,Sömmerda,51.1618258,11.1174874
403,40.0,20211231.0,16069,Hildburghausen,Hildburghausen,50.4266327,10.7300263
404,40.0,20211231.0,16070,Ilm-Kreis,Arnstadt,50.7291643,10.9575149
405,40.0,20211231.0,16071,Weimarer Land,Apolda,50.9567988,11.2053748
406,40.0,20211231.0,16072,Sonneberg,Sonneberg,50.3575412,11.1691714
407,40.0,20211231.0,16073,Saalfeld-Rudolstadt,Saalfeld,50.6280079,11.2869459
408,40.0,20211231.0,16074,Saale-Holzland-Kreis,Eisenberg,50.9041255,11.7321914
409,40.0,20211231.0,16075,Saale-Orla-Kreis,Schleiz,50.623351,11.7208511
410,40.0,20211231.0,16076,Greiz,Greiz,50.7783814,12.0763533
411,40.0,20211231.0,16077,Altenburger Land,Altenburg,50.955291,12.3808622
