Satzart,Gebietsstand,Regionalschlüssel,Gemeinde,Leer,Unnamed: 5
40.0,20221231.0,7333,Donnersbergkreis,Kirchheimbolanden,
40.0,20221231.0,7334,Germersheim,Germersheim,
40.0,20221231.0,7335,Kaiserslautern (Kreis),Kaiserslautern,1.0
40.0,20221231.0,7336,Kusel,Kusel,
40.0,20221231.0,7337,Südliche Weinstraße,Landau in der Pfalz,
40.0,20221231.0,7338,Rhein-Pfalz-Kreis,Ludwigshafen am Rhein,
40.0,20221231.0,7339,Mainz-Bingen,Ingelheim am Rhein,
40.0,20221231.0,7340,Südwestpfalz,Pirmasens,
40.0,20221231.0,8111,"Stuttgart, Stadtkreis",Stuttgart,
40.0,20221231.0,8115,Böblingen,Böblingen,
40.0,20221231.0,8116,Esslingen,Esslingen am Neckar,
40.0,20221231.0,8117,Göppingen,Göppingen,
40.0,20221231.0,8118,Ludwigsburg,Ludwigsburg,
40.0,20221231.0,8119,Rems-Murr-Kreis,Waiblingen,
40.0,20221231.0,8121,"Heilbronn, Stadtkreis",Heilbronn,
40.0,20221231.0,8125,"Heilbronn, Kreis",Heilbronn,1.0
40.0,20221231.0,8126,Hohenlohekreis,Künzelsau,
40.0,20221231.0,8127,Schwäbisch Hall,Schwäbisch Hall,
40.0,20221231.0,8128,Main-Tauber-Kreis,Tauberbischofsheim,
40.0,20221231.0,8135,Heidenheim,Heidenheim an der Brenz,
40.0,20221231.0,8136,Ostalbkreis,Aalen,
40.0,20221231.0,8211,"Baden-Baden, Stadtkreis",Baden-Baden,
40.0,20221231.0,8212,"Karlsruhe, Stadtkreis",Karlsruhe,
40.0,20221231.0,8215,"Karlsruhe, Kreis",Karlsruhe,1.0
40.0,20221231.0,8216,Rastatt,Rastatt,
40.0,20221231.0,8221,"Heidelberg, Stadtkreis",Heidelberg,
40.0,20221231.0,8222,"Mannheim, Stadtkreis",Mannheim,
40.0,20221231.0,8225,Neckar-Odenwald-Kreis,Mosbach,
40.0,20221231.0,8226,Rhein-Neckar-Kreis,Heidelberg,
40.0,20221231.0,8231,"Pforzheim, Stadtkreis",Pforzheim,
40.0,20221231.0,8235,Calw,Calw,
40.0,20221231.0,8236,Enzkreis,Pforzheim,
40.0,20221231.0,8237,Freudenstadt,Freudenstadt,
40.0,20221231.0,8311,"Freiburg im Breisgau, Stadtkreis",Freiburg im Breisgau,
40.0,20221231.0,8315,Breisgau-Hochschwarzwald,Freiburg im Breisgau,
40.0,20221231.0,8316,Emmendingen,Emmendingen,
40.0,20221231.0,8317,Ortenaukreis,Offenburg,
40.0,20221231.0,8325,Rottweil,Rottweil,
40.0,20221231.0,8326,Schwarzwald-Baar-Kreis,Villingen-Schwenningen,
40.0,20221231.0,8327,Tuttlingen,Tuttlingen,
40.0,20221231.0,8335,Konstanz,Konstanz,
40.0,20221231.0,8336,Lörrach,Lörrach,
40.0,20221231.0,8337,Waldshut,Waldshut-Tiengen,
40.0,20221231.0,8415,Reutlingen,Reutlingen,
40.0,20221231.0,8416,Tübingen,Tübingen,
40.0,20221231.0,8417,Zollernalbkreis,Balingen,
40.0,20221231.0,8421,"Ulm, Stadtkreis",Ulm,
40.0,20221231.0,8425,Alb-Donau-Kreis,Ulm,
40.0,20221231.0,8426,Biberach,Biberach an der Riß,
40.0,20221231.0,8435,Bodenseekreis,Friedrichshafen,
40.0,20221231.0,8436,Ravensburg,Ravensburg,
40.0,20221231.0,8437,Sigmaringen,Sigmaringen,
40.0,20221231.0,9161,Ingolstadt,Ingolstadt,
40.0,20221231.0,9162,"München, Landeshauptstadt",München,
40.0,20221231.0,9163,"Rosenheim, Stadt",Rosenheim,1.0
40.0,20221231.0,9171,Altötting,Altötting,
40.0,20221231.0,9172,Berchtesgadener Land,Bad Reichenhall,
40.0,20221231.0,9173,Bad Tölz-Wolfratshausen,Bad Tölz,
40.0,20221231.0,9174,Dachau,Dachau,
40.0,20221231.0,9175,Ebersberg,Ebersberg,
40.0,20221231.0,9176,Eichstätt,Eichstätt,
40.0,20221231.0,9177,Erding,Erding,
40.0,20221231.0,9178,Freising,Freising,
40.0,20221231.0,9179,Fürstenfeldbruck,Fürstenfeldbruck,
40.0,20221231.0,9180,Garmisch-Partenkirchen,Garmisch-Partenkirchen,
40.0,20221231.0,9181,Landsberg am Lech,Landsberg am Lech,
40.0,20221231.0,9182,Miesbach,Miesbach,
40.0,20221231.0,9183,Mühldorf a.Inn,Mühldorf a.Inn,
40.0,20221231.0,9184,"München, Kreis",München,1.0
40.0,20221231.0,9185,Neuburg-Schrobenhausen,Neuburg a.d.Donau,
40.0,20221231.0,9186,Pfaffenhofen a.d.Ilm,Pfaffenhofen a.d.Ilm,
40.0,20221231.0,9187,"Rosenheim, Kreis",Rosenheim,1.0
40.0,20221231.0,9188,Starnberg,Starnberg,
40.0,20221231.0,9189,Traunstein,Traunstein,
40.0,20221231.0,9190,Weilheim-Schongau,Weilheim i.OB,
40.0,20221231.0,9261,"Landshut, Stadt",Landshut,1.0
40.0,20221231.0,9262,"Passau, Stadt",Passau,1.0
40.0,20221231.0,9263,Straubing,Straubing,
